text,label
çünkü bunu allah yaratmadı allah 2 cinsiyet yaratmıştır kadın yada erkek,1
bun dişi mi erkekmi,1
erkek ama durum bu,1
Lan top,1
Topi topp,1
Allah için biri bana cvp versin lütfen bu kızmı erkekmi,1
Arkadaşlar Yeni öğrendim erkekmiş bu,1
Bu kız mı erkek mi lann,1
Sakalların belli oluo aq topu,1
Bunu toprak kabul etmez amk,1
Amk gobline benziyon resmen yaa top,1
Bu oç ölse arkasında ağlayan oğlan çok,1
Amkk topu,1
Vay o babana yazık ne kadar sevinmişti Allah bilir oğlum oldu diye annen seni doğuracağına sicaymiydi tuvalete daha makbule gecermisti 😂😂😂😂😂,1
Top,1
Amk ben bunu kız biliyordum sakalları var,1
Şerefsizim çogu kız bundan erkek,1
Top Oğlu Toppp Ama,1
Ölüm şaka yapmiyom bu kizmi erkek mi valla bilmiyom bak 😡 salak mal şunu ünlü yapmayın lütfen,1
Dedemden çok sakalın var😂,1
La bu kizmi erkekmi AP bir türlü anlamadim ama suratında sakalları çıkıyor ap bu nerenin mali,1
Sg top,1
Abla senin sakalın var 😶🙄😳,1
Bu topu beyzbol sopası ula dövmek istiyorum,1
olum valla çok ciddiyim bu erkek mi kız mı,1
Bu kısmı erkekmi lann,1
Sakalı var amk,1
Sakal traşı olmUş bide amq,1
Babasida diyo benim oğlum var amk...,1
Sakalar benimkinden büyük aq,1
Ap topuu,1
Lan amk topu d,1
Top,1
Laaa cocun sakalı cıkmış berbere götürekte kestirek parası yetmemis cocun,1
Nasıl. Bı yaratiksin sen yaw,1
Çocukken topu inşaata kaçmış belliki 😂,1
Amk topu,1
Olum bu topları ve g leri lezbiyanları yakmaları lazım aq,1
Bune lan tipini,1
Kızısın erkek mi sin belli deyil ama cinsiyetin neyse ona dönüş,1
Topppp,1
Seni mezar bile kabul etmicek bide sana erkek çocuk oldu diye kurban kesmişlerdir😂,1
Toppppppppppppppp,1
Amk top 🎱,1
Topppppp,1
Nedir bu ülkemizde bunlar bir virüs gibi çoğaldı gençlik gidiyor devlet el koyması gerek bunları bir adada toplaması gerek,1
Gay mısın lezbiyen mısın topmusun tırevstimisin sen nesin aq,1
trans kadın,1
Olm bunun sakalları var lan,1
Amk topu 😑,1
A.m.k. Nonoşuuuuuuu bunlar kusra bakmayın küfür ettim hak edıyolar,1
Abla yarağğın gözüküyo,1
Taşşaklarına beton yetmez,1
Bizden büyük taşşağı var. Ama tercih işte napcan ağa.,1
İnşallah sadece yıllarını vermiştir 🙏🏻,1
Sadece yillarini vermemiş mal xjvjsnwhcf,1
Yıllardır vermiş şüpemiz yok,1
toplar adanada yapın yiosa,1
Yemin ederim ki beyazlı erkek valla erkek sıkıyorlar anliyon demi,1
Bu lütfen erkek çıkmasın😢,1
Abla abi ya neysen artık. Buna delilik değil gerizekalık denir. Haberin olsun.,1
Kendinide vermiş 😂,1
Adanalı erkekli hafendi😂,1
Olum sen tm bir cinsiyetsizmisin amk,1
Size insan diyenin amk,1
Daşağa var la bunun 🤔,1
Buna veren kızıda bununda amk :d,1
Sen çok vermişsin,1
Rabbim sen bizim evlatlarımıza allah korkusunu hissettir amin.Bunlarada iman verde adam olsunlar byle totoş olunca neoluyo,1
Taşşaklarınız belli oluyor hala binelik peşindesiniz,1
Kizlar bu sizden mi erkeklerdenmi,1
Hangisi kız lan,1
Travestileri etiketliyoruz aşkooo😂😂😂😂,1
Kızlardan soğudum aq,1
Sen gtünü ver yıları boşver 😂,1
Yıllardan değil Belliki çok yerinden vermişsin 😄😂,1
O ibnelik olmali,1
⚽♿,1
Erkek olarak yilaerin kız olarak 2 yılın biç,1
O kızmı amk,1
⚽,1
Top MK,1
Ya kızlar daha delikanlı senden,1
Top,1
Gay,1
Bu topluk vürüstende hızlı bulasiyo dikkat,1
Lan bu travesti çok yıl verdi,1
O yanındaki kıza yazık enazinda o erkek gibi davrani direkkkkk,1
