,text,label
0,ndmediahizmetleri5.000 Takipçi 30 ₺,0
1,4,0
2,merveesenn33@xberfinuzun olaylar tek taraflı düşünülüp yargısız infazlar yapılıyor herkes sıla ya göre empati yapıyor Ahmet Kuralın yerine kendini koyup konuşmuyor belki de şu an yapmadığı Bir şeyden dolayı yargılanıyor ne kadar da kötü bir durum insanlığa yazık..,0
3,sahsinamunhasirbirzat Gereksiz özgüven patlaması 😂 üzgünüm ama torpili olduğu çok bariz. Estetikli haliyle bile 👎👎👎 bu bir güzellik yarışması olduğu için güzel olması gerekirdi milletin hakkı yenmiş resmen.,0
4,hazal_ayasan_ayar@trkkntzz.k ,0
5,aysen.akay@emine_dg_78 ne bileyim görüntü bile hoş durmuyor,0
6,akkayagillerden@tugbatugbi 🤣🤣🤣,0
7,humeyraortacoruc Bir tek burnunda mı? Dudaklardaki dolguyu napacaauuuk? @gamzealiztorun,0
8,sanemsisss İtici kız. Her türlü itici,0
9,???? ¦?????,0
10,edayazgac @cam_damacana_su 😂😂😂😂👏🏻,0
11,nazli_ile_murat Kız ne güzel bağırdın öyle ANNE diye maşallah hep Güler yüzlü ol inş 💋😚😚🤗,0
12,sudeniz_dmrci@altew_ 👏👏👏,0
13,aydakiadam@flyacn baş harfini Söyle biz anlarız :),0
14,greatreynmen Arkandan dedik yapan değilim yayında sana destek olanım gerçekler er geç çıkacak ortaya 🙌❤️,0
15,formda_zayfla 💕 ZAYIFLAMAK İSTEYENLER💕💕💜İştahını tutamayanlar😐,0
16,eta_zaa Kesinlikle emine,0
17,hasret_okf571@bircanbalii 😁😁,0
18,güvenilirsayfalar GÜVENLİ ALIŞVERİŞMİ YAPMAK İSTİYORSUNUZ. . @instagram ın en güvenilir sayfalarını paylaşıyoruz sayfamıza bakarsanız tüm güvenli butikleri bulabilirsiniz 💐☺️,0
19,"medbazBunun sonuçları olur 🤔 -meliydim, -malıydım’ lar için çok geç. Öfkeni duvarları yumruklayıp alsaydın, kıyamadın kendine di mi? Evi terk etseydin, çirkeflik etseydin laf ile ama nasıl için soğuyacaktı dı mi? Tatlı tatlı acısını sana gücü yetmeyenden almak varken... Kadınınmış, sevdiğinmiş... palavra. Uzun uzun da yazmışsın, ne güzel. Unutulur acısı geçince diii mi? Yanına kalır, diii mi? Sonuçları olur, sonuçları 🤔",0
20,asi__maria @flyacn 😁😁😁😁 ay ne güldüm,0
21,kullutoprak Bence çok şık,0
22,kevser eymenomer Kendisi zayıf diye bebeği de zayıf olsun istiyor şimdiden mantıklı😎😎,0
23,ercucu Allahım hiç mi yakışmazlar pes. Aslında böyle şeyleri yazmayı sevmiyorum ama gerçekten olmamış,0
24,tugbaunal3 Kulak deliği kalp şeklin de Emina hanım tabii ki ve benlerinden belli @2.sayfaofficial,0
25,semraKüçük16 @bircanbalii nin dediği çıktı,0
26,denizaytlpoglu 🤤,0
27,ferahakay Lütfen bu hesabı şikayet edin @seferbeyoglubayik,0
28,kader_çoke Onca güzel hatun varken senin seçilmen torpil değil de ne acaba büyük haksızlık var yazık,0
29,"burcu_karakrt O dudaklara ne denilmeli acaba 🙄 kaldı ki bunun öncesinde seçilenlerinde hiç estetik yoktu .Bu jüri üyeleri neye göre Seçmişler hayret edilecek bir şey .Fotoğraf paylaşmışlardı yarışmanın olduğu gün , Bir tane kız vardı sağ tarafta yerde oturan kaç numara olduğunu bilmiyorum ama o kız seçilmeliydi kesinlikle .Birinciliğe layık değilsin kesinlikle .Hesabına baktım hiç yaşını göstermiyorsun .Yaşından büyük gözüküyorsun",0
30,yigitim_yamanim Çok zarif 🤩 ama bir Bengü havası Yok tabi onunki tam bir gelinlikti 😉,0
31,theismlva hayır,0
32,ezozgen @mustelo derdine düştünüz profilimin,0
33,tulayyy21Peki o tek taş hala ne alaka ?,0
34,nezhgnyy@candogn_buse Ben savunmuyorum iyice okuyun öyle konuşun ben böyle demek istiyor diyorum. Şiddeti savunduğumu nerden çıkardınız,0
35,megapark sağlık eğitim bayağı HARİKA GÜZL,0
36,damlaahi@seyseysey avukatına bir de selam söyle kız korkudan fena oldum bak inan şehri terkedeceğim,0
37,pinaryyu@zeynep_zeynep_dilan 😆😅💕,0
38,dilekcandr Doğru söylemiş usta oyuncu,0
39,ergunzuhal Hiç olmamış,0
40,atilamelek@bircanbalii yine haklı çıktın 😃👍🏻,0
41,english_language_teacher_ @flyacn 🤣🤣🤣🤣🤣🤣,0
42,"bulentzTürk07@onur.dere55 devlet bakidir isimler geçici ..sığındığı devlettir Tayyip değil ..ayıp etmişse senin dediğin Tayyibe etmiş .Tayyip şu anda devleti idare etme görevini yürüten kişidir devlet değildir. Devlet demek 80 milyonu da kapsar .Sen dahi devletin içindesin. Olayları iyi yorumla bence.. O devleti kimleri eskitti ,Ecevit ,Özal ,Demirel vs ..hepsi toprak oldu .bak devlet dimdik ayakta ...anlatabildim mi !",0
43,adilkullanici Kesin balık burcu,0
44,yuyijo@yalcinn.ozge Sen bir cacık mısın peki?,0
45,tubionboard Şeyma clube gidiyor,0
46,modampalace sayfama buyrun arkadaşlar tesettur giyim,0
47,mehmet.dnlmz@ahmtkural yanındayız,0
48,zeynepcan33 @sanssizyavrukuzu şimdi uyanmışlardır😁😁😁,0
49,paradiso.women@bircanbalii nin eline şu dökemez kimse valla bu kız fena anneem fena🤣🤣,0
50,Bir Trabzonsporlu olarak milli kalecimiz Volkan a yapılanları tasvip etmiyorum ..,0
51,http://bos.gamegami.com,0
52,cadkız_leman Ajda nın hayvan sever olduğunu biliyoruz tebrik ederim inşallah örnek olur herkes hayvan besler bir yerlerde restoran şart değil.,0
53,eymenimin.annesii @btgsnt aynen bende beğenmedim,0
54,"elif.kaya.99 Anlamıyorum gerçekten seviyorsa çıkar adam gibi söyler , kızım diye not düşüyor bir de ,2 gündür instagram yıkılıyor",0
55,kadirbuqra Kanıt yok delil yok neden bu kadar yükleniyorlar Ahmet kurala,0
56,neden4061 @zehraa_ozkmn kendin çalışta yap bakalım o yüzüğü anca çeneni yorarsınız,0
57,betulkaramannis Ha,0
58,ozr_fly@ozlm_cndl haha aynen 🤣🤣🤣🤟🏼🤟🏼🤟🏼,0
59,kadınanne@cross67cross sahte olduğu için yorumlar böyle,0
60,gamze_sevimler Çok kötü ya,0
61,durezo çok manidar bir paylaşma..!,0
62,sila_akin1881Yazık en acı olan da kadının bu yaratığı savunuyor olması sevmiyorum avukatlık mesleğini kötü olanı da savunuyorlar iyi olanı da savunuyorlar işini doğru yapanlara sözüm yok ama her şey para değil biraz vicdan!,0
63,bilgemm_62 yazıklar olsun verdiğiniz haberesin sizin caniniz yansın da görün bakalım.derhal takibi bırakıyorum sizleride kınıyorum,0
64,ruya_alici_ Boynunda ki benlere bakınız. Kulak biçimi aynı iki resimde gözlük olmasaydı yanağında ki bende görünür müydü,0
65,esr_akgl2334@tort_dunyasiii 😂😅,0
66,sevval_avsin_ @lezzetnoktasi onlar kendilerine eğleniyorlar 😂 profosyonel makyaj estetik diz boyu sonra kadına benzer yani yok yani ülke kafayı yemiş 😂,0
67,lady_chakıll😍😍😍😍😍😍@ajdapekkan,0
68,semrauzenc@elif_tnazoglu_uzel kesinlikle bacım Allahımiza bin şükür gözlerim kanadı🤣🤣🤣,0
69,bilgoo__ Hayır,0
70,emrahkirzz Sonuna kadar arkandayız reis,0
71,gumussunbay@gulsahmadan HAHA HELAL,0
72,_meryem_akyol Aslında bir sakınca Yok ikisi de artık bekar ve mani de Yok bence yakışmışlar da,0
73,me._l_1994_😂😂😂,0
74,ekis_basvuru Bizimle çalışmak istermisiniz ❌❌❌,0
75,"ipek_byn2Bırakın hayvan sever adı altında, Show 👎👎Her şeyin bir adabı var, nasıl ki biz hayvan kaplarından beslenmiyorsak, hayvanları da çatal ile besleyemezsiniz ki bu hayvan içinde tehlikeli; çatal hayvanın bir yanına batabilir, bilmiyor sonuçta çatalın işlevini, bir ters hareketle... Hayvanları rahat bırakın, doğal ortamlarından ve yaşamlarından kendi zevk ve egolarınız için ayırmayın.",0
76,bu_defa_kendim_için Boynundaki benlerine kadar aynı ilginç 😏,0
77,ferkanelyesa@gokceebeyazittt1 tamam,0
78,eminebillgin@aylnkincrbac 👏👏👏,0
79,denizyilmaz1276 Çok hoş,0
80,nandoaras Bence de secilirdi ama miss Türkey erkeklerde,0
81,kaan.aluc.9@_planetnibiru_slvgl@_planetnibiru_slvgl,0
82,"morninghasbroken2@drn.sema Eleştirilen evliliklerin ya da ilişkilerin dinle alakası yok, kadına zorlama olmasıyla alakası var. Öyle bir durum olsaydı, herkes yine tepki verirdi türbanlı olsun, olmasın.",0
83,sevgicubuk91 Tamam sensin buraların delikanlısı bu nasıl bir bakış 😂😂😂,0
84,mikinikinos çocuk çok samimi. Mekan da dinleyende de karşılı varsa. Sıcak ulan sıcak.,0
85,srtcozg,0
86,fatmayavuzzzzz O değil de herkesin yüzü aynı. tanımak için mikroskop lazım.ah şu estetik çılgınlığı 😬,0
87,insta_diaryy@yaseminozilhan kesinlikle 💕,0
88,rosetheyellow İnanmıyorum Ahmet kural a,0
89,nurancanımkurbey@drn.sema bravo size cevap çok iyi 👏👏👏,0
90,gulsenayyildiz@neslihan_guman 🤣🤣🤣,0
91,niluferana593 bayağı torpilli bir yarışma olmuş 3. de feci,0
92,_yarenyolcu_ Kesin balık burcu,0
93,7yurek@2.sayfaofficial zaten adamın tarzı bu herkes biliyor bunu da haber yaptınız ya yu diyorum elinizde malzeme kalmadı galiba😂,0
94,tubaynbs Yok artık,0
95,werawera30😃 bircan demişti bu göstermelik sevgilisi aklı başkasında diye demek görevini tamamladı @rukbebu,0
96,arzkvc@buket24ergun bende hikayeyi gördüğümde aklıma gelmişti 🤔 @bircanbalii @eceerken hadi size yarın konu çıktı bu ince detayı kaçırmayın🙃🙋,0
97,serap5220 @mzgntaskaradag kesinlikle haklısın aynen olmasada olur emrah. ,0
98,kubraaemreeahwbdbendnwjdwnsn @ismailcaltan,0
99, şok tartışma @tum.official sayfasında kesinlikle izleyin 😨,0
100,sevda_cemada2018 güzelini eleştiriyorlar Çağla Şikelin iki resim arasında hiç bir benzerlik yok çok şaşırdım,0
101,sevro11SENİ ALDATTI DİYE KAFASINDA KÜL TABLASI KIRMA HAKKINI KENDİNDE NASIL GÖRÜYORSUN BASIN AÇIKLAMASI YAPAR AYRILIRSIN O ZAMAN SILA AYIPLANIRDI,0
102,ranagencofficial O kadar doğal ki kemik yapısına kadar görülüyor,0
103,ssevimcan Anne deyince arkadan gelen huğ sesi 😂 @ddilarayilmaz@giizemyillmaz,0
104,gamzeibiis@sila_klft ananene haber ver,0
105,sevalozTürk4 Kendi şımarıklığı,0
106,huzunsultan Evet gayet güzel,0
107,aycc.krygz para para para,0
108,silayucceKabul ediyorum özrünü tamam @fundadalar Söyle barışmaya gelsin,0
109,seras.baslar Gelinlik güzel fakat yaş olarak olgun hanım gelinliğin havası var.. bensu genç dinamik fresh bir gelinlik varken 40 yaşında kadınmış gibi bir tarza bürünmüş ...,0
110,ksimsk Serap ezgi sandım,0
111,deniz_suyuu Sosyete olmak böyle bir şey,0
112,fam_ela15 Sadece burun mu😂😂ya bence güzellik yarışmalarının bir kriteri olmalı☝️estetikliler botokslular bu tür yarışmalara girmemeli.Doğal güzeller istiyoruz.natürel olsunlar ?sizce👍,0
113,emineyaman28 Yakın zamanda ünlülerde gördüğüm en güzel gelinlik,0
114,merveterziogluozel Bu özgüvenden istiyorum 😂,0
115,defnekaderkuru Adam doğru söylemiş yanlış bir cümle yok haksız olmak daha acı ve ben haksız değilim negatif yorum yapanları kaele almıyorum demek istiyor ben hiç inanmıyorum dayak olayına ki haksızsa bile yargı karar vermeli buna biz değil ne zaman hakim savcı oldukta insanları ortada birşey yokken yargılar olduk şiddete karşıyım fakat önce adalet karar vermeli biz değil😞,0
116,sibel4148Hiç iyi bulmadık. bu ne.,0
